State,District,Date,Crop,current temperature ,Lower Required Temperature Range,Upper Required Temperature Range,rainfall,wind (High/Low),humidity(High/Low)
Bihar,Bhagalpur,16th March,Wheat,19,21,24,0,LOW,HIGH
Bihar,Bhagalpur,16th March,Rice,19,20,27,0,LOW,HIGH
Bihar,Bhagalpur,16th March,Jowar,19,25,32,0,LOW,HIGH
Bihar,Bhagalpur,16th March,Rajma,19,15,25,0,LOW,HIGH
Bihar,Bhagalpur,16th March,Maize,19,18,27,0,LOW,HIGH
Bihar,Bhagalpur,16th March,Millet,19,15,20,0,LOW,HIGH
Bihar,Bhagalpur,16th March,Soyabean,19,20,25,0,LOW,HIGH
Bihar,Bhagalpur,16th March,Bajra,19,20,30,0,LOW,HIGH
Bihar,Bhagalpur,16th March,Cardamom,19,15,33,0,LOW,HIGH
Bihar,Bhagalpur,16th March,Garlic,19,15,23,0,LOW,HIGH
Bihar,Bhagalpur,16th March,Turmeric,19,20,28,0,LOW,HIGH
Bihar,Bhagalpur,16th March,Ginger,19,28,30,0,LOW,HIGH
Bihar,Bhagalpur,16th March,Dry Chillies,19,45,50,0,LOW,HIGH
Bihar,Bhagalpur,16th March,Cater Oil Seed,19,14,15,0,LOW,HIGH
Bihar,Bhagalpur,16th March,Sunflower Seeds,19,4,10,0,LOW,HIGH
Bihar,Bhagalpur,16th March,Cotton Seeds,19,22,36,0,LOW,HIGH
Bihar,Bhagalpur,16th March,Moong,19,27,30,0,LOW,HIGH
Bihar,Bhagalpur,16th March,Lemons,19,10,35,0,LOW,HIGH
Bihar,Bhagalpur,16th March,Cauliflower,19,17,22,0,LOW,HIGH
Bihar,Bhagalpur,16th March,Green Peas,19,10,30,0,LOW,HIGH
Bihar,Bhagalpur,16th March,Pumpkins,19,18,27,0,LOW,HIGH
Bihar,Bhagalpur,16th March,Potatos,19,15,20,0,LOW,HIGH
Bihar,Bhagalpur,16th March,Gourds,19,20,32,0,LOW,HIGH
Bihar,Bhagalpur,16th March,Tomatos,19,21,24,0,LOW,HIGH
Bihar,Bhagalpur,16th March,Cabbages,19,15,21,0,LOW,HIGH
Bihar,Bhagalpur,16th March,Onions,19,10,25,0,LOW,HIGH
Bihar,Bhagalpur,16th March,Pigeon Peas,19,25,35,0,LOW,HIGH
Bihar,Bhagalpur,16th March,Brinjal,19,26,40,0,LOW,HIGH
Bihar,Bhagalpur,16th March,Cashew Nuts,19,10,40,0,LOW,HIGH
Bihar,Bhagalpur,16th March,Groundnuts,19,26,35,0,LOW,HIGH
Bihar,Bhagalpur,16th March,Tea ,19,20,27,0,LOW,HIGH
Bihar,Bhagalpur,16th March,Coffee,19,15,27,0,LOW,HIGH
Bihar,Darbhanga,16th March,Wheat,17,21,24,0,LOW,HIGH
Bihar,Darbhanga,16th March,Rice,17,20,27,0,LOW,HIGH
Bihar,Darbhanga,16th March,Jowar,17,25,32,0,LOW,HIGH
Bihar,Darbhanga,16th March,Rajma,17,15,25,0,LOW,HIGH
Bihar,Darbhanga,16th March,Maize,17,18,27,0,LOW,HIGH
Bihar,Darbhanga,16th March,Millet,17,15,20,0,LOW,HIGH
Bihar,Darbhanga,16th March,Soyabean,17,20,25,0,LOW,HIGH
Bihar,Darbhanga,16th March,Bajra,17,20,30,0,LOW,HIGH
Bihar,Darbhanga,16th March,Cardamom,17,15,33,0,LOW,HIGH
Bihar,Darbhanga,16th March,Garlic,17,15,23,0,LOW,HIGH
Bihar,Darbhanga,16th March,Turmeric,17,20,28,0,LOW,HIGH
Bihar,Darbhanga,16th March,Ginger,17,28,30,0,LOW,HIGH
Bihar,Darbhanga,16th March,Dry Chillies,17,45,50,0,LOW,HIGH
Bihar,Darbhanga,16th March,Cater Oil Seed,17,14,15,0,LOW,HIGH
Bihar,Darbhanga,16th March,Sunflower Seeds,17,4,10,0,LOW,HIGH
Bihar,Darbhanga,16th March,Cotton Seeds,17,22,36,0,LOW,HIGH
Bihar,Darbhanga,16th March,Moong,17,27,30,0,LOW,HIGH
Bihar,Darbhanga,16th March,Lemons,17,10,35,0,LOW,HIGH
Bihar,Darbhanga,16th March,Cauliflower,17,17,22,0,LOW,HIGH
Bihar,Darbhanga,16th March,Green Peas,17,10,30,0,LOW,HIGH
Bihar,Darbhanga,16th March,Pumpkins,17,18,27,0,LOW,HIGH
Bihar,Darbhanga,16th March,Potatos,17,15,20,0,LOW,HIGH
Bihar,Darbhanga,16th March,Gourds,17,20,32,0,LOW,HIGH
Bihar,Darbhanga,16th March,Tomatos,17,21,24,0,LOW,HIGH
Bihar,Darbhanga,16th March,Cabbages,17,15,21,0,LOW,HIGH
Bihar,Darbhanga,16th March,Onions,17,10,25,0,LOW,HIGH
Bihar,Darbhanga,16th March,Pigeon Peas,17,25,35,0,LOW,HIGH
Bihar,Darbhanga,16th March,Brinjal,17,26,40,0,LOW,HIGH
